sample_id,latitude,longitude,shannon_diversity,pielou_evenness,species_richness,dominant_phylum
Micro_P_0000479,-41.35,-71.56,4.138651215243154,0.6570383492626045,544,Unknown
Micro_P_0000480,-41.35,-71.56,4.5406208113007525,0.6871398882619354,741,Unknown
Micro_P_0000481,-41.26,-71.3,3.624919111297281,0.5444447427802678,779,Unknown
Micro_P_0000482,-41.19,-71.5,5.448590798423258,0.6889635887417016,2720,Unknown
Micro_P_0000256,-2.28,-55.22,4.829721076294854,0.6979684594118207,1012,Unknown
Micro_P_0000257,-2.28,-55.22,5.1546175120071585,0.7547252098838045,925,Unknown
Micro_P_0000258,-2.28,-55.22,5.927459733244278,0.763008859412073,2365,Unknown
Micro_P_0000259,-2.28,-55.22,4.8495301707747664,0.7531086043305751,626,Unknown
Micro_P_0000260,-2.28,-55.22,5.203718134442319,0.7493739606661802,1037,Unknown
Micro_P_0000261,-2.28,-55.22,4.517380203216454,0.7230072350570839,517,Unknown
Micro_P_0000262,-2.28,-55.22,4.9241269794281255,0.7044272236763018,1086,Unknown
Micro_P_0000263,-2.28,-55.22,4.583032231411567,0.7376988273159095,499,Unknown
Micro_P_0000264,-2.28,-55.22,4.297033019706177,0.6991218399737833,467,Unknown
Micro_P_0000265,-2.28,-55.22,4.889745145400946,0.7936342489536085,474,Unknown
Micro_P_0000266,-2.28,-55.22,4.502057189018501,0.771585813473181,342,Unknown
Micro_P_0000267,-2.28,-55.22,4.9701357903349495,0.8112031840375461,458,Unknown
Micro_P_0000268,-2.28,-55.22,5.4812099155230225,0.8421269521434049,671,Unknown
Micro_P_0000269,-2.28,-55.22,4.968594210389558,0.7579441199603665,703,Unknown
Micro_P_0000270,-2.28,-55.22,5.3193228326041835,0.7375354480930165,1356,Unknown
Micro_P_0000271,-2.28,-55.22,4.864028016118285,0.7228854935847616,836,Unknown
Micro_P_0000272,-2.28,-55.22,4.682634261925996,0.744271287187146,540,Unknown
Micro_P_0000273,-2.28,-55.22,5.10635173368723,0.6826282566655715,1773,Unknown
Micro_P_0000274,-2.28,-55.22,5.4388470221281615,0.7620337457670826,1258,Unknown
Micro_P_0000275,-2.28,-55.22,4.985081823666718,0.7893585482351199,553,Unknown
Micro_P_0000276,-2.28,-55.22,4.53685420288799,0.6878419003307971,732,Unknown
Micro_P_0000277,-2.28,-55.22,4.929043823720342,0.8631655406369704,302,Unknown
Micro_P_0000278,-2.28,-55.22,4.697816982629683,0.808415591414393,334,Unknown
Micro_P_0000279,-2.28,-55.22,4.656156813553682,0.7632644866891491,446,Unknown
Micro_P_0000280,-3.83,-60.3,5.7017524878462025,0.7834295976392782,1448,Unknown
Micro_P_0000282,-3.83,-60.3,5.769858688418488,0.7954618112444886,1413,Unknown
Micro_P_0000283,-3.83,-60.3,5.997262871536636,0.803313657328354,1747,Unknown
Micro_P_0000284,-3.83,-60.3,5.47291952983045,0.7883601252240843,1035,Unknown
Micro_P_0000285,-3.83,-60.3,6.002667639287311,0.8273966846378257,1415,Unknown
Micro_P_0000286,-3.83,-60.3,6.051304187222412,0.8249190461425703,1534,Unknown
Micro_P_0000289,-3.83,-60.3,5.6415625769161295,0.7619953828206876,1642,Unknown
Micro_P_0000290,-3.83,-60.3,5.2397327241892615,0.7283033867185704,1332,Unknown
Micro_P_0000291,-3.83,-60.3,7.0770862433828094,0.8751493885564944,3251,Unknown
Micro_P_0000292,-3.83,-60.3,6.521596618916011,0.8559938498550627,2036,Unknown
Micro_P_0000293,-3.83,-60.3,5.924262971639397,0.7963190728738946,1702,Unknown
Micro_P_0000296,-3.83,-60.3,5.344565961804306,0.837690174584224,590,Unknown
Micro_P_0000297,-3.83,-60.3,5.213582180460138,0.8000963322630931,676,Unknown
Micro_P_0000300,-3.83,-60.3,5.204577554660801,0.8432971548950656,479,Unknown
Micro_P_0000301,-3.83,-60.3,4.60827057792941,0.8215159548328672,273,Unknown
Micro_P_0000302,-3.83,-60.3,5.203121921608285,0.7263711715575937,1291,Unknown
Micro_P_0000303,-3.83,-60.3,5.621416435597858,0.7561503653489177,1693,Unknown
Micro_P_0000304,-3.83,-60.3,5.12094389991371,0.7036923974943629,1447,Unknown
Micro_P_0000305,-3.83,-60.3,6.279941948605401,0.8223315168733928,2073,Unknown
Micro_P_0000306,-3.83,-60.3,5.337385106158131,0.7437563818765313,1308,Unknown
Micro_P_0000309,-3.83,-60.3,6.020919151320573,0.8660984579089949,1045,Unknown
Micro_P_0000310,-3.83,-60.3,5.833469968470223,0.8968652391824037,668,Unknown
Micro_P_0000311,-3.83,-60.3,6.030592284585861,0.8452255836909314,1255,Unknown
Micro_P_0000312,-3.83,-60.3,5.408851634343606,0.7919494851851324,925,Unknown
Micro_P_0000313,-3.83,-60.3,5.417867556931016,0.7917752924491178,937,Unknown
Micro_P_0000314,-3.83,-60.3,5.693382738144368,0.7878796102058845,1375,Unknown
Micro_P_0000316,-3.83,-60.3,6.218252033600634,0.8711387518652841,1259,Unknown
Micro_P_0000317,-3.83,-60.3,5.257997923295303,0.819211430913806,613,Unknown
Micro_P_0000318,-3.83,-60.3,4.6988870166239725,0.7839368126757286,401,Unknown
Micro_P_0000319,-3.83,-60.3,5.7976289605633555,0.8641177485086562,820,Unknown
Micro_P_0000324,-3.83,-60.3,5.457474317574571,0.7479667223525618,1475,Unknown
Micro_P_0000325,-3.83,-60.3,5.591318731941026,0.7857851448816354,1231,Unknown
Micro_P_0000326,-3.83,-60.3,4.405361071238003,0.6239467201465776,1165,Unknown
Micro_P_0000327,-3.83,-60.3,3.8841079117027233,0.588634174001921,734,Unknown
Micro_P_0000328,-3.83,-60.3,4.1665857924510075,0.6309238696019767,738,Unknown
Micro_P_0000329,-3.83,-60.3,4.7474150061866895,0.7059317854441314,833,Unknown
Micro_P_0000330,-3.83,-60.3,3.4261858285067244,0.5701934346714691,407,Unknown
Micro_P_0000331,-3.83,-60.3,3.7257623730299585,0.5899526791880766,553,Unknown
Micro_P_0000332,-3.83,-60.3,4.82875154456806,0.7214280653211214,807,Unknown
Micro_P_0000333,-3.83,-60.3,5.367160390806037,0.8055010511850453,783,Unknown
Micro_P_0000336,-3.83,-60.3,4.947674383418412,0.6722288708931129,1572,Unknown
Micro_P_0000337,-3.83,-60.3,4.8196903489172485,0.6778863655776518,1224,Unknown
Micro_P_0000340,-3.83,-60.3,6.071116302047347,0.8347365610863654,1441,Unknown
Micro_P_0000341,-3.83,-60.3,5.94314037669133,0.8194312779221864,1412,Unknown
Micro_P_0000342,-3.83,-60.3,5.708375196396463,0.7862971124307165,1422,Unknown
Micro_P_0000343,-3.83,-60.3,4.44670380354933,0.6758677637102668,720,Unknown
Micro_P_0000344,-3.83,-60.3,5.494706707055091,0.7879361598077859,1068,Unknown
Micro_P_0000345,-3.83,-60.3,4.812993277727718,0.6917707648549306,1051,Unknown
Micro_P_0000346,-3.83,-60.3,5.226024581462413,0.781361755614568,803,Unknown
Micro_P_0000347,-3.83,-60.3,4.7584129297601745,0.7082011629422884,828,Unknown
Micro_P_0000350,-3.83,-60.3,5.33036929223829,0.7377182146708544,1374,Unknown
Micro_P_0000281,-3.83,-60.3,6.675651044031804,0.826392045932095,3223,Unknown
Micro_P_0000287,-3.83,-60.3,6.331189981132287,0.8909907877560156,1219,Unknown
Micro_P_0000288,-3.83,-60.3,6.310146237413128,0.8216642616170202,2164,Unknown
Micro_P_0000294,-3.83,-60.3,5.592889387516027,0.7914689775175768,1172,Unknown
Micro_P_0000295,-3.83,-60.3,5.192295105654773,0.7780703230597231,791,Unknown
Micro_P_0000298,-3.83,-60.3,5.5199165310732585,0.8482681660515959,670,Unknown
Micro_P_0000299,-3.83,-60.3,5.399053506496189,0.8818390930743163,456,Unknown
Micro_P_0000307,-3.83,-60.3,5.932159675828501,0.7943499577095334,1751,Unknown
Micro_P_0000308,-3.83,-60.3,5.497036827056116,0.8179846344550964,829,Unknown
Micro_P_0000315,-3.83,-60.3,5.568594434921042,0.8228627294116494,869,Unknown
Micro_P_0000321,-3.83,-60.3,5.529871604377263,0.895099000944438,482,Unknown
