source_name,latitude,longitude
Elevatória de Esgoto,-22.407721,-44.303921
Water Treatment Plant Fazenda da Barra II,-22.447849,-44.397415
Estação de Tratamento de Esgoto do Recreio dos Bandeirantes,-23.022301,-43.4584029
Estação de Tratamento de Esgoto de Piumhi,-20.4350745,-45.9826237
Estação de Tratamento de Esgoto (ETE Vilaça),-19.7125875,-45.2601731
ETE UFLA,-21.2300748,-44.9898117
Estação de Tratamento de Esgoto Ourinhos,-23.1400243,-49.9603382
Unidade de Tratamento de Resíduos São Conrado,-22.9936518,-43.2517931
Estação de Tratamento de Esgoto,-22.9289533,-47.0102194
ETE,-23.0673678,-46.6213991
WWTP_5121166106,-22.9547924,-43.39241
Centro de tratamento de esgoto da CEDAE,-23.0052441,-43.6288146
Estação Elevatória de Esgoto Autuori,-23.799663,-46.5369144
ETE Ipanema Das Pedras,-23.5246225,-47.5346903
Estação de Tratamento de Esgoto Fartura,-20.8428501,-49.5218825
ETE PIABANHA,-22.5071276,-43.1929459
Estação de Tratamento de Esgoto,-19.3263096,-48.9321879
Estação de Tratamento de Esgoto Doméstico de Burarama,-20.6851989,-41.3463102
Estação de Tratamento de Esgoto de Coutinho,-20.7513416,-41.1890554
ETE Loteamento Presidente Lula,-21.1393389,-46.4423464
WWTP_9775179087,-21.1021102,-44.253778
Estação Elevatória de Esgoto,-22.5255186,-41.9548947
WWTP_10007374805,-23.4917757,-47.4505543
Sabesp - EEE Bonfim I,-23.2846817,-47.0586839
WWTP_11150965669,-23.1995547,-49.3793899
WWTP_11940430430,-22.8292554,-43.3247757
SEMAE - Serviço Municipal de Água e Esgoto,-22.7246672,-47.6351539
UNCE - Unidade de Negócio Centro COPASA,-20.1705847,-44.9037019
WWTP_12444572367,-19.3263691,-40.0684398
EEE ISAC PIRES,-23.6121601,-46.9084632
Estação de Tratamento de Água de Laranjal,-22.8085842,-42.9943958
E.T.E. P.M.V,-20.2924479,-40.3468564
ETE Sarapuí,-22.7557512,-43.3452736
Estação de Tratamento de Esgotos da Ilha do Governador,-22.7954877,-43.187473
Estação Elevatória de Água Tratada Theodoro A. Ramos,-23.6355229,-46.6932405
WWTP_160286531,-21.0362467,-40.8214534
WWTP_166876621,-22.767627,-47.1789322
Estação de Tratamento de Esgoto - Rio Uberaba,-19.7280742,-48.0025462
WWTP_176568574,-22.8031387,-43.06381
ETE Onça,-19.8238985,-43.8932299
Estação de Tratamento de Esgoto,-22.663551,-45.0308534
Estação de Tratamento de Esgoto,-19.9326843,-40.4009611
ETE Barreira - COPASA,-20.6342075,-43.8110037
WWTP_202490385,-22.8320824,-48.4299643
Estação de Tratamento de Esgoto,-20.5154035,-49.0627389
ETE SABESP,-23.3966576,-46.3579183
Estação de Tratamento de Esgoto Rio Marinho,-20.3687151,-40.3496994
WWTP_207109975,-22.7512799,-42.9493531
WWTP_210981009,-23.8171072,-49.4408487
WWTP_211529850,-22.3701428,-46.9605866
WWTP_217794873,-22.7049475,-46.8219392
COPASA - ETE São José da Lapa,-19.6826062,-43.9625146
"Estação de Tratamento, Sabesp",-23.8784397,-46.8081433
ETE Mutum,-22.4035685,-41.8312099
WWTP_221173983,-21.9471952,-48.0273354
WWTP_226430667,-23.4400022,-49.4165431
WWTP_227122995,-22.9654939,-42.0313471
WWTP_227845191,-22.8994713,-45.3968002
WWTP_228127870,-22.1328209,-45.0519932
ETE São Miguel,-23.4852504,-46.4487069
Represa de Tratamento de Esgoto,-22.8781707,-49.9910371
Estação de Tratamento de Esgoto,-23.1096867,-46.5657167
WWTP_233626021,-23.4219546,-46.4107705
